cover,quality,bit_errors,failed_bit_positions,failed_bit_block_pair,blocks_with_error,total_payload_blocks,error_block_coordinates
ricepod/preview.jpg,60,12,5;25;145;165;177;225;249;277;293;301;365;397,"5:(r0,c1,pair1);25:(r0,c6,pair1);145:(r0,c36,pair1);165:(r0,c41,pair1);177:(r0,c44,pair1);225:(r0,c56,pair1);249:(r0,c62,pair1);277:(r1,c5,pair1);293:(r1,c9,pair1);301:(r1,c11,pair1);365:(r1,c27,pair1);397:(r1,c35,pair1)",12,128,"(r0,c1);(r0,c6);(r0,c36);(r0,c41);(r0,c44);(r0,c56);(r0,c62);(r1,c5);(r1,c9);(r1,c11);(r1,c27);(r1,c35)"
ricepod/preview.jpg,50,22,5;9;25;72;100;137;145;165;177;213;225;249;293;301;314;338;350;365;397;406;410;474,"5:(r0,c1,pair1);9:(r0,c2,pair1);25:(r0,c6,pair1);72:(r0,c18,pair0);100:(r0,c25,pair0);137:(r0,c34,pair1);145:(r0,c36,pair1);165:(r0,c41,pair1);177:(r0,c44,pair1);213:(r0,c53,pair1);225:(r0,c56,pair1);249:(r0,c62,pair1);293:(r1,c9,pair1);301:(r1,c11,pair1);314:(r1,c14,pair2);338:(r1,c20,pair2);350:(r1,c23,pair2);365:(r1,c27,pair1);397:(r1,c35,pair1);406:(r1,c37,pair2);410:(r1,c38,pair2);474:(r1,c54,pair2)",22,128,"(r0,c1);(r0,c2);(r0,c6);(r0,c18);(r0,c25);(r0,c34);(r0,c36);(r0,c41);(r0,c44);(r0,c53);(r0,c56);(r0,c62);(r1,c9);(r1,c11);(r1,c14);(r1,c20);(r1,c23);(r1,c27);(r1,c35);(r1,c37);(r1,c38);(r1,c54)"
sheep/preview.jpg,95,0,,,0,128,
sheep/preview.jpg,90,0,,,0,128,
sheep/preview.jpg,80,0,,,0,128,
sheep/preview.jpg,70,0,,,0,128,
sheep/preview.jpg,60,0,,,0,128,
sheep/preview.jpg,50,0,,,0,128,
shimmering_particles/preview.jpg,95,1,494,"494:(r0,c123,pair2)",1,128,"(r0,c123)"
shimmering_particles/preview.jpg,90,1,494,"494:(r0,c123,pair2)",1,128,"(r0,c123)"
shimmering_particles/preview.jpg,80,1,494,"494:(r0,c123,pair2)",1,128,"(r0,c123)"
shimmering_particles/preview.jpg,70,1,494,"494:(r0,c123,pair2)",1,128,"(r0,c123)"
shimmering_particles/preview.jpg,60,1,494,"494:(r0,c123,pair2)",1,128,"(r0,c123)"
shimmering_particles/preview.jpg,50,1,494,"494:(r0,c123,pair2)",1,128,"(r0,c123)"
techno/preview.jpg,95,0,,,0,128,
techno/preview.jpg,90,0,,,0,128,
techno/preview.jpg,80,0,,,0,128,
techno/preview.jpg,70,0,,,0,128,
techno/preview.jpg,60,0,,,0,128,
techno/preview.jpg,50,1,213,"213:(r0,c53,pair1)",1,128,"(r0,c53)"
